time,AHTTemperatureSensor,IRSensor,UVSensor
2024-04-08 13:53:29-04:00,30.5,65535,4
2024-04-08 13:53:30-04:00,30.6,65535,4
2024-04-08 13:53:31-04:00,30.6,65535,4
2024-04-08 13:53:32-04:00,30.5,65535,4
2024-04-08 13:53:34-04:00,30.5,65535,4
2024-04-08 13:53:35-04:00,30.6,65535,4
2024-04-08 13:53:36-04:00,30.6,65535,4
2024-04-08 13:53:37-04:00,30.6,65535,4
2024-04-08 13:53:38-04:00,30.7,65535,4
2024-04-08 13:53:39-04:00,30.7,65535,4
2024-04-08 13:53:40-04:00,30.8,65535,4
2024-04-08 13:53:41-04:00,30.7,65535,4
2024-04-08 13:53:42-04:00,30.7,65535,4
2024-04-08 13:53:43-04:00,30.7,65535,4
2024-04-08 13:53:44-04:00,30.8,65535,4
2024-04-08 13:53:45-04:00,30.8,65535,4.1
2024-04-08 13:53:46-04:00,30.8,65535,4
2024-04-08 13:53:47-04:00,30.8,65535,4
2024-04-08 13:53:48-04:00,30.9,65535,4.1
2024-04-08 13:53:49-04:00,30.9,65535,4
2024-04-08 13:53:50-04:00,31,65535,4.1
2024-04-08 13:53:51-04:00,31.2,65535,4.1
2024-04-08 13:53:52-04:00,31.2,65535,4.1
2024-04-08 13:53:53-04:00,31.1,65535,4.1
2024-04-08 13:53:54-04:00,31.1,65535,4.1
2024-04-08 13:53:55-04:00,31.1,65535,4.1
2024-04-08 13:53:56-04:00,31.1,65535,4.1
2024-04-08 13:53:57-04:00,31.1,65535,4
2024-04-08 13:53:58-04:00,31.1,65535,4.1
2024-04-08 13:53:59-04:00,31.1,65535,4.1
2024-04-08 13:54:00-04:00,31.1,65535,4.1
2024-04-08 13:54:01-04:00,31.1,65535,4.1
2024-04-08 13:54:02-04:00,31.2,65535,4.1
2024-04-08 13:54:03-04:00,31.2,65535,4.1
2024-04-08 13:54:04-04:00,31.2,65535,4.2
2024-04-08 13:54:05-04:00,31.3,65535,4.2
2024-04-08 13:54:06-04:00,31.4,65535,4.1
2024-04-08 13:54:07-04:00,31.5,65535,4.1
2024-04-08 13:54:08-04:00,31.6,65535,4.2
2024-04-08 13:54:09-04:00,31.6,65535,4.2
2024-04-08 13:54:10-04:00,31.6,65535,4.2
2024-04-08 13:54:11-04:00,31.6,65535,4.2
2024-04-08 13:54:12-04:00,31.6,65535,4.2
2024-04-08 13:54:13-04:00,31.6,65535,4.2
2024-04-08 13:54:14-04:00,31.6,65535,4.2
2024-04-08 13:54:15-04:00,31.7,65535,4.2
2024-04-08 13:54:16-04:00,31.8,65535,4.2
2024-04-08 13:54:17-04:00,31.8,65535,4.2
2024-04-08 13:54:18-04:00,31.8,65535,4.2
2024-04-08 13:54:19-04:00,31.8,65535,4.2
2024-04-08 13:54:20-04:00,31.8,65535,4.3
2024-04-08 13:54:21-04:00,31.8,65535,4.2
2024-04-08 13:54:22-04:00,31.8,65535,4.3
2024-04-08 13:54:23-04:00,31.9,65535,4.3
2024-04-08 13:54:24-04:00,32,65535,4.3
2024-04-08 13:54:25-04:00,31.9,65535,4.3
2024-04-08 13:54:26-04:00,31.9,65535,4.3
2024-04-08 13:54:27-04:00,31.8,65535,4.3
2024-04-08 13:54:28-04:00,31.8,65535,4.3
2024-04-08 13:54:29-04:00,31.7,65535,4.3
2024-04-08 13:54:30-04:00,31.7,65535,4.3
2024-04-08 13:54:31-04:00,31.7,65535,4.3
2024-04-08 13:54:32-04:00,31.7,65535,4.3
2024-04-08 13:54:34-04:00,31.7,65535,4.4
2024-04-08 13:54:35-04:00,31.7,65535,4.3
2024-04-08 13:54:36-04:00,31.7,65535,4.3
2024-04-08 13:54:37-04:00,31.7,65535,4.3
2024-04-08 13:54:38-04:00,31.6,65535,4.3
2024-04-08 13:54:39-04:00,31.5,65535,4.3
2024-04-08 13:54:40-04:00,31.5,65535,4.3
2024-04-08 13:54:41-04:00,31.4,65535,4.3
2024-04-08 13:54:42-04:00,31.5,65535,4.3
2024-04-08 13:54:43-04:00,31.5,65535,4.2
2024-04-08 13:54:44-04:00,31.6,65535,4.2
2024-04-08 13:54:45-04:00,31.7,65535,4.2
2024-04-08 13:54:46-04:00,31.7,65535,4.2
2024-04-08 13:54:47-04:00,31.7,65535,4.2
2024-04-08 13:54:48-04:00,31.7,65535,4.3
2024-04-08 13:54:49-04:00,31.7,65535,4.2
2024-04-08 13:54:50-04:00,31.8,65535,4
2024-04-08 13:54:51-04:00,31.7,65535,4.3
2024-04-08 13:54:52-04:00,31.7,65535,4.3
2024-04-08 13:54:53-04:00,31.7,65535,4.3
2024-04-08 13:54:54-04:00,31.7,65535,4.3
2024-04-08 13:54:55-04:00,31.7,65535,4.3
2024-04-08 13:54:56-04:00,31.6,65535,4.3
2024-04-08 13:54:57-04:00,31.6,65535,4.3
2024-04-08 13:54:58-04:00,31.6,65535,4.3
2024-04-08 13:54:59-04:00,31.7,65535,4.2
2024-04-08 13:55:00-04:00,31.7,65535,4.3
2024-04-08 13:55:01-04:00,31.7,65535,4.3
2024-04-08 13:55:02-04:00,31.6,65535,4.2
2024-04-08 13:55:03-04:00,31.7,65535,4.2
2024-04-08 13:55:04-04:00,31.7,65535,4.2
2024-04-08 13:55:05-04:00,31.8,65535,4.2
2024-04-08 13:55:06-04:00,31.9,65535,4.2
2024-04-08 13:55:07-04:00,31.9,65535,4.2
2024-04-08 13:55:08-04:00,32,65535,4.3
2024-04-08 13:55:09-04:00,32.1,65535,4.2
2024-04-08 13:55:10-04:00,32.1,65535,4.2
2024-04-08 13:55:11-04:00,32.1,65535,4.2
2024-04-08 13:55:12-04:00,32.1,65535,4.2
2024-04-08 13:55:13-04:00,32.1,65535,4.2
2024-04-08 13:55:14-04:00,32.1,65535,4.2
2024-04-08 13:55:15-04:00,32.3,65535,4.2
2024-04-08 13:55:16-04:00,32.3,65535,4.2
2024-04-08 13:55:17-04:00,32.3,65535,4.2
2024-04-08 13:55:18-04:00,32.2,65535,4.2
2024-04-08 13:55:19-04:00,32.2,65535,4.3
2024-04-08 13:55:20-04:00,32.2,65535,4.3
2024-04-08 13:55:21-04:00,32.2,65535,4.3
2024-04-08 13:55:22-04:00,32.3,65535,4.2
2024-04-08 13:55:23-04:00,32.3,65535,4.1
2024-04-08 13:55:24-04:00,32.4,65535,4.1
2024-04-08 13:55:25-04:00,32.4,65535,4
2024-04-08 13:55:26-04:00,32.5,65535,4
2024-04-08 13:55:27-04:00,32.5,65535,4
2024-04-08 13:55:28-04:00,32.5,65535,3.2
2024-04-08 13:55:29-04:00,32.5,65535,4.1
2024-04-08 13:55:30-04:00,32.6,65535,4.2
2024-04-08 13:55:31-04:00,32.5,65535,4.2
2024-04-08 13:55:32-04:00,32.5,65535,4.2
2024-04-08 13:55:33-04:00,32.5,65535,4.2
2024-04-08 13:55:34-04:00,32.5,65535,4.2
2024-04-08 13:55:35-04:00,32.4,65535,4.2
2024-04-08 13:55:36-04:00,32.3,65535,4.2
2024-04-08 13:55:37-04:00,32.3,65535,4.3
2024-04-08 13:55:38-04:00,32.4,65535,4.2
2024-04-08 13:55:39-04:00,32.4,65535,4.2
2024-04-08 13:55:40-04:00,32.3,65535,4.2
2024-04-08 13:55:41-04:00,32.4,65535,4.2
2024-04-08 13:55:42-04:00,32.4,65535,4.2
2024-04-08 13:55:43-04:00,32.4,65535,4.3
2024-04-08 13:55:44-04:00,32.5,65535,4.2
2024-04-08 13:55:45-04:00,32.4,65535,4.2
2024-04-08 13:55:46-04:00,32.5,65535,4.2
2024-04-08 13:55:47-04:00,32.6,65535,4.2
2024-04-08 13:55:48-04:00,32.6,65535,4.2
2024-04-08 13:55:49-04:00,32.6,65535,4.2
2024-04-08 13:55:50-04:00,32.6,65535,4.2
2024-04-08 13:55:51-04:00,32.6,65535,4.2
2024-04-08 13:55:52-04:00,32.6,65535,4.2
2024-04-08 13:55:53-04:00,32.6,65535,4.3
2024-04-08 13:55:54-04:00,32.7,65535,4.3
2024-04-08 13:55:55-04:00,32.7,65535,4.2
2024-04-08 13:55:56-04:00,32.8,65535,4.3
2024-04-08 13:55:57-04:00,32.8,65535,4.3
2024-04-08 13:55:58-04:00,32.7,65535,4.2
2024-04-08 13:55:59-04:00,32.7,65535,4.2
2024-04-08 13:56:00-04:00,32.7,65535,4.3
2024-04-08 13:56:01-04:00,32.8,65535,4.3
2024-04-08 13:56:02-04:00,32.8,65535,4.2
2024-04-08 13:56:03-04:00,32.8,65535,4.3
2024-04-08 13:56:04-04:00,32.9,65535,4.2
2024-04-08 13:56:05-04:00,32.9,65535,4.2
2024-04-08 13:56:06-04:00,32.9,65535,4.2
2024-04-08 13:56:07-04:00,32.9,65535,4.2
2024-04-08 13:56:08-04:00,32.9,65535,4.2
2024-04-08 13:56:09-04:00,33,65535,4.2
2024-04-08 13:56:10-04:00,33,65535,4.2
2024-04-08 13:56:11-04:00,33,65535,4.2
2024-04-08 13:56:12-04:00,33,65535,4.2
2024-04-08 13:57:43-04:00,27,32767.5,4.2
2024-04-08 13:57:44-04:00,26.8,65535,4.2
2024-04-08 13:57:45-04:00,26.6,65535,4.3
2024-04-08 13:57:46-04:00,26.4,65535,4.3
2024-04-08 13:57:47-04:00,26.5,65535,4.3
2024-04-08 13:57:48-04:00,26.4,65535,4.3
2024-04-08 13:57:49-04:00,26.3,65535,4.3
2024-04-08 13:57:50-04:00,26.3,65535,4.3
2024-04-08 13:57:51-04:00,26.3,65535,4.2
2024-04-08 13:57:52-04:00,26.3,65535,4.2
2024-04-08 13:57:53-04:00,26.3,65535,4.3
2024-04-08 13:57:54-04:00,26.2,65535,4.3
2024-04-08 13:57:55-04:00,26.2,65535,4.3
2024-04-08 13:57:56-04:00,26.1,65535,4.2
2024-04-08 13:57:57-04:00,26,65535,4.3
2024-04-08 13:57:58-04:00,25.9,65535,4.3
2024-04-08 13:57:59-04:00,25.9,65535,4.3
2024-04-08 13:58:00-04:00,25.8,65535,4.3
2024-04-08 13:58:01-04:00,25.8,65535,4.3
2024-04-08 13:58:02-04:00,25.8,65535,4.3
2024-04-08 13:58:03-04:00,25.7,65535,4.3
2024-04-08 13:58:04-04:00,25.5,65535,4.3
2024-04-08 13:58:05-04:00,25.4,65535,4.4
2024-04-08 13:58:06-04:00,25.3,65535,4.4
2024-04-08 13:58:07-04:00,25.2,65535,4.3
2024-04-08 13:58:08-04:00,25.4,65535,4.4
2024-04-08 13:58:09-04:00,25.4,65535,4.4
2024-04-08 13:58:10-04:00,25.5,65535,4.4
2024-04-08 13:58:11-04:00,25.4,65535,4.4
2024-04-08 13:58:12-04:00,25.3,65535,4.4
2024-04-08 13:58:13-04:00,25.3,65535,4.4
2024-04-08 13:58:14-04:00,25.3,65535,4.4
2024-04-08 13:58:15-04:00,25.4,65535,4.4
2024-04-08 13:58:16-04:00,25.4,65535,4.4
2024-04-08 13:58:17-04:00,25.3,65535,4.4
2024-04-08 13:58:18-04:00,25.3,65535,4.4
2024-04-08 13:58:19-04:00,25.3,65535,4.4
2024-04-08 13:58:20-04:00,25.2,65535,4.4
2024-04-08 13:58:21-04:00,25.3,65535,4.4
2024-04-08 13:58:22-04:00,25.3,65535,4.3
2024-04-08 13:58:23-04:00,25.1,65535,4.3
2024-04-08 13:58:24-04:00,25,65535,4.3
2024-04-08 13:58:25-04:00,25.1,65535,4.3
2024-04-08 13:58:26-04:00,25.1,65535,4.3
2024-04-08 13:58:27-04:00,25.1,65535,4.3
2024-04-08 13:58:28-04:00,25.2,65535,4.3
2024-04-08 13:58:29-04:00,25.2,65535,4.3
2024-04-08 13:58:30-04:00,25.1,65535,4.3
2024-04-08 13:58:31-04:00,25,65535,4.3
2024-04-08 13:58:33-04:00,25,65535,4.3
2024-04-08 13:58:34-04:00,25,65535,4.3
2024-04-08 13:58:35-04:00,25,65535,4.3
2024-04-08 13:58:36-04:00,24.9,65535,4.3
2024-04-08 13:58:37-04:00,24.9,65535,4.3
2024-04-08 13:58:38-04:00,24.9,65535,4.3
2024-04-08 13:58:39-04:00,24.9,65535,4.3
2024-04-08 13:58:40-04:00,24.9,65535,4.3
2024-04-08 13:58:41-04:00,24.9,65535,4.3
2024-04-08 13:58:42-04:00,24.9,65535,4.3
2024-04-08 13:58:43-04:00,24.8,65535,4.3
2024-04-08 13:58:44-04:00,24.8,65535,4.3
2024-04-08 13:58:45-04:00,24.8,65535,4.3
2024-04-08 13:58:46-04:00,24.8,65535,4.3
2024-04-08 13:58:47-04:00,24.6,65535,4.3
2024-04-08 13:58:48-04:00,24.6,65535,4.2
2024-04-08 13:58:49-04:00,24.6,65535,4.2
2024-04-08 13:58:50-04:00,24.6,65535,4.2
2024-04-08 13:58:51-04:00,24.6,65535,4.2
2024-04-08 13:58:52-04:00,24.6,65535,4.2
2024-04-08 13:58:53-04:00,24.7,65535,4.2
2024-04-08 13:58:54-04:00,24.8,65535,4.2
2024-04-08 13:58:55-04:00,24.8,65535,4.2
2024-04-08 13:58:56-04:00,24.9,65535,4.2
2024-04-08 13:58:57-04:00,24.9,65535,4.2
2024-04-08 13:58:58-04:00,25,65535,4.2
2024-04-08 13:58:59-04:00,25,65535,4.2
2024-04-08 13:59:00-04:00,24.8,65535,4.2
2024-04-08 13:59:01-04:00,24.8,65535,4.2
2024-04-08 13:59:02-04:00,24.9,65535,4.2
2024-04-08 13:59:03-04:00,25,65535,4.1
2024-04-08 13:59:04-04:00,25.1,65535,4.2
2024-04-08 13:59:05-04:00,25.2,65535,4.1
2024-04-08 13:59:06-04:00,25.3,65535,4.2
